[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:58 140690022380352 marin.execution.step_runner Step = checkpoints/starcoder_tpp10/tpp10_matched_p100_s20260910_d20260914_40dd2202	Params = {'fingerprint': '09d73161', 'version': '2026.09.09', 'result_type': 'marin.training.training.LevanterCheckpoint', 'deps': ['starcoder_tpp10/hq_actual@2026.09.09', 'starcoder_tpp10/hq_synth@2026.09.09', 'starcoder_tpp10/medium_high@2026.09.09', 'starcoder_tpp10/medium@2026.09.09', 'starcoder_tpp10/medium_low@2026.09.09', 'starcoder_tpp10/low_actual@2026.09.09', 'starcoder_tpp10/subset_20260914@2026.09.09', 'paloma/dolma_100_programing_languages-tpp10@2026.09.09'], 'expected_fingerprint': '09d73161'}	Output_path = gs://marin-us-central1/checkpoints/starcoder_tpp10/tpp10_matched_p100_s20260910_d20260914/2026.09.09
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:58 140678381901504 marin.execution.step_status [/calvinxu/starcoder-tpp10-pilot/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260907-2204-845b20a6-140678381901504)] Acquired lock for checkpoints/starcoder_tpp10/tpp10_matched_p090_s20260911_d20260914_1a023184
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:58 140678365116096 marin.execution.step_status [/calvinxu/starcoder-tpp10-pilot/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260907-2204-845b20a6-140678365116096)] Status checkpoints/starcoder_tpp10/tpp10_matched_p100_s20260910_d20260913_3fa3e50f: None
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:58 140678365116096 marin.execution.step_status [/calvinxu/starcoder-tpp10-pilot/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260907-2204-845b20a6-140678365116096)] Attempting to acquire lock for checkpoints/starcoder_tpp10/tpp10_matched_p100_s20260910_d20260913_3fa3e50f
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:58 140678415472320 fray.current_client current_client: using Iris backend (auto-detected)
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:59 140690022380352 marin.execution.step_runner Step = checkpoints/starcoder_tpp10/tpp10_unmatched_p100_s20260911_ee6712de	Params = {'fingerprint': 'c3342c8f', 'version': '2026.09.09', 'result_type': 'marin.training.training.LevanterCheckpoint', 'deps': ['starcoder_tpp10/hq_actual@2026.09.09', 'starcoder_tpp10/hq_synth@2026.09.09', 'starcoder_tpp10/medium_high@2026.09.09', 'starcoder_tpp10/medium@2026.09.09', 'starcoder_tpp10/medium_low@2026.09.09', 'starcoder_tpp10/low_actual@2026.09.09', 'starcoder_tpp10/parent@2026.09.09', 'paloma/dolma_100_programing_languages-tpp10@2026.09.09'], 'expected_fingerprint': 'c3342c8f'}	Output_path = gs://marin-us-central1/checkpoints/starcoder_tpp10/tpp10_unmatched_p100_s20260911/2026.09.09
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:59 140678365116096 marin.execution.step_status [/calvinxu/starcoder-tpp10-pilot/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260907-2204-845b20a6-140678365116096)] Acquired lock for checkpoints/starcoder_tpp10/tpp10_matched_p100_s20260910_d20260913_3fa3e50f
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:59 140678398686912 fray.current_client current_client: using Iris backend (auto-detected)
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:59 140678348330688 marin.execution.step_status [/calvinxu/starcoder-tpp10-pilot/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260907-2204-845b20a6-140678348330688)] Status checkpoints/starcoder_tpp10/tpp10_matched_p100_s20260910_d20260914_40dd2202: None
[22:54:59] task=/calvinxu/starcoder-tpp10-pilot/0 attempt=0 | I20260910 22:54:59 140678348330688 marin.execution.step_status [/calvinxu/starcoder-tpp10-pilot/0:0 (marin-cpu-vm-e2-highmem-2-ondemand-us-ce-20260907-2204-845b20a6-140678348330688)] Attempting to acquire lock for checkpoints/starcoder_tpp10/tpp10_matched_p100_s20260910_d20260914_40dd2202
