continuation_id,role,selection_tranche,fit_budget,referee_holdout,prefix_repeat_seed,data_seed,direction_id,direction_family,direction_outcome_status,sign,target_hellinger,bucket,phase_1_count,phase_1_weight,phase_1_materialized_epochs,phase_1_support_cap,total_support_cap
historical_frontier_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.08,dolma3_cc/health_high,24,0.01171875,0.034360007690704006,1.5007123062420487,2.492927585651884
historical_frontier_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.08,dolma3_cc/health_low,18,0.0087890625,0.060464448628494594,2.255348893422571,5.69944929616892
historical_frontier_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.08,dolma3_cc/history_and_geography_high,22,0.0107421875,0.10151455803600665,2.5344196788573083,8.454541478448181
historical_frontier_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.08,dolma3_cc/history_and_geography_low,12,0.005859375,0.20120797717832356,6.8294805539541,19.195508643021267
historical_frontier_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.08,dolma3_cc/industrial_high,31,0.01513671875,0.23663799569336286,3.8763861032801508,9.722271461529425
historical_frontier_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.08,dolma3_cc/industrial_low,12,0.005859375,0.1730065471245833,6.298904130910751,22.831337345011402
historical_frontier_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.08,dolma3_cc/literature_high,126,0.0615234375,0.30407197746271986,1.8247294804131762,3.2777679606051047
historical_frontier_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.08,dolma3_cc/literature_low,44,0.021484375,0.3982434446847364,2.862570623457864,15.559838419550267
historical_frontier_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.08,dolma3_cc/science_math_and_technology_high,69,0.03369140625,0.17700060637401954,1.6111670776301927,5.818658743238675
historical_frontier_h080_plus,local_wave2b_historical_ray,historical_ray,True,False,0,930000,historical_frontier,historical_ray,historical outcome-selected reference,plus,0.08,dolma3_cc/science_math_and_technology_low,95,0.04638671875,0.5338535784025827,2.6922171815700033,9.034406875552962
