run_name,target_family,noise_mode,aggregate_mean_theta,accuracy_reference,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6
run_00028,eval_bpb_irt,variable,0.13658434807523503,0.3478724919621979,0.13681228019596955,-0.0373957106884132,-0.1760887046860523,1.5214805177312722,-0.34691285324305504,-0.2783894408583111
run_00051,eval_bpb_irt,variable,0.1346328557752677,0.34060528188440264,-0.5560852164706049,-0.4270116608148038,1.3497891939979128,0.5679783311989153,-0.0024199618422655767,-0.12445355141754742
run_00181,eval_bpb_irt,variable,0.13428114372792244,0.3390706937087633,-0.41386790657809003,0.3363996434008116,0.2722811227064894,-0.32493164134276564,0.5977617509741336,0.3380438932069557
run_00008,eval_bpb_irt,variable,0.1339716849319088,0.35179066364891765,-0.2874539698447773,1.4984881313754443,-0.559249245589743,0.2816619773381703,-1.5430583096329786,1.4134415259453372
run_00060,eval_bpb_irt,variable,0.1255225361752785,0.35402627314817015,0.33406212674489527,-0.20098554151498724,-0.28153931478900307,0.8944785020142471,0.37593285217864336,-0.3688134075821246
run_00141,eval_bpb_irt,variable,0.1186639460408327,0.34433644157351456,-0.543153129536567,-0.6614787908459019,1.0625822227621775,-0.5937351238600935,0.4913845776953874,0.9563839200299937
run_00142,eval_bpb_irt,variable,0.11711299084542744,0.3454976269173104,1.0615270748189138,0.4574034349774412,-0.7883497592726719,1.862090161960491,1.1099716511493418,-2.999964618560951
run_00198,eval_bpb_irt,variable,0.1044873497209816,0.3531319560623375,0.6747460662078444,0.4016144944374446,-0.3299326605681148,-1.3828044381342817,1.1244494015594506,0.13885123482354633
run_00145,eval_bpb_irt,variable,0.10193600081816707,0.3471445675594994,-1.2404682607932735,-0.18892054059233274,1.5821864861848571,1.0951304622623121,-0.6131541993682288,-0.023157942784331757
run_00084,eval_bpb_irt,variable,0.1008943145353513,0.350231494133002,-1.1681158100610947,0.09272863774478597,0.7552420933470654,0.6655916133764698,0.7607907085979863,-0.5008713557931049
run_00161,eval_bpb_irt,variable,0.09649098698801352,0.34896865923014553,1.0861575571394726,1.4061367010996864,-2.665381311577474,-0.49563674361598226,0.3505421555100884,0.8971275633722899
run_00194,eval_bpb_irt,variable,0.09548066528521415,0.34323393459132645,0.5809508304941438,0.03023805096771988,1.4552467641130395,-0.3490940354392704,-0.3936864059700804,-0.7507712124542674
run_00132,eval_bpb_irt,variable,0.08670705016465118,0.3414517542314465,-1.1201561351251552,-0.2811910722111615,-1.162556217758311,1.955972005752736,0.6464957777108653,0.4816779426189334
run_00118,eval_bpb_irt,variable,0.08230750683976475,0.3500366425890021,-0.0351795797421681,-1.470957414319419,0.5523374563271812,0.5087200938107204,1.0806266491638108,-0.14170216420153675
run_00054,eval_bpb_irt,variable,0.07878412095678378,0.34250417427738633,0.13212197683589805,0.03370253453674381,0.6401109021225023,-1.0709128370594119,-0.18564654433134176,0.9233286936363121
run_00187,eval_bpb_irt,variable,0.07808274730117766,0.3476665698178557,0.5365027496672711,-1.2379396605438384,-0.011590939777331085,-0.3991072347800136,1.5435746786730449,0.037056890567933154
run_00230,eval_bpb_irt,variable,0.07299872670372759,0.3545655107254684,0.7930403283018727,0.7061016753748184,-2.1344244783252275,1.4385296131386598,0.16778611824628614,-0.5330408965140437
run_00088,eval_bpb_irt,variable,0.06783712284378582,0.3526683948425423,0.8642415970208812,-0.0007156713486761264,-0.3924672056064048,0.3844014345003108,-0.814962993911097,0.3665255764077007
run_00220,eval_bpb_irt,variable,0.06537954615185837,0.3390606567967248,-0.13058807211638634,-0.5209447593135793,-0.5368460057743801,1.5178175041760191,1.537008972533752,-1.474170362594275
run_00027,eval_bpb_irt,variable,0.06040466261471333,0.33888947533865704,0.07340416626024897,-0.8784131269653132,1.2473701124051115,-0.5780849991991582,-0.2630382475506184,0.7611900707380093
run_00143,eval_bpb_irt,variable,0.05936449922865702,0.3496033987826604,-1.1485648803644715,0.13788359661789676,0.9177712164471219,0.15230993396011663,-0.6064318955986259,0.9032190243099041
run_00135,eval_bpb_irt,variable,0.042834088685340256,0.3488174982279281,-1.913594702098561,0.19221426549126927,0.36533258348251213,-0.9879641846752939,1.3135058717684487,1.2875106981436664
run_00232,eval_bpb_irt,variable,0.025326628834965614,0.34694642777277157,0.17239535503596604,-0.563045962232227,-2.169749413240811,0.714911204086999,1.098707731513397,0.8987408578464695
run_00133,eval_bpb_irt,variable,0.023439477089190853,0.34500247608896173,1.1242786121428836,-0.5836239148065441,-0.3053258471163243,-1.3596540479852777,1.2237197423036568,0.04124231799675076
run_00121,eval_bpb_irt,variable,0.02239696362719355,0.351168443978354,-1.5085441433788638,0.18412238682032064,-0.33448980166877484,0.7050277792827727,0.239856218440477,0.8484093422672295
