model,split,n,rmse,mae,bias_pred_minus_actual,actual_std,pred_std,std_ratio,spearman,pearson,slope_pred_on_actual,intercept_pred_on_actual,slope_actual_on_pred,intercept_actual_on_pred,low_tail_rmse,description,feature_count,ridge,coef_l2
paper_first_order_canonical_power,all_rows,641.0,0.047258003156940315,0.034130702407137524,0.0017422717329311696,0.07844420156998826,0.0690936985198166,0.8808005835609265,0.8581193736846016,0.8023199779703452,0.7066839047988701,0.30910683542831435,0.9108985540480704,0.09178195549296389,0.03259867180745659,First-order synergy on the canonical MCT-LRQ family partition.,16,10.0,0.056992057462346125
paper_first_order_canonical_power,fit_region,343.0,0.04089876168932953,0.03214316551627363,0.03000207213890427,0.053377957995540834,0.07380376502506836,1.3826637023325974,0.8476301693959625,0.9548963955800728,1.3203005856567958,-0.2889936136434674,0.6906208602779781,0.2873986767869923,0.03219243074421103,First-order synergy on the canonical MCT-LRQ family partition.,16,10.0,0.056992057462346125
paper_first_order_canonical_power,anchor_100m_1x,242.0,0.03038738406296401,0.02630875675168207,0.02606929529441458,0.018544670803931216,0.019672115500621548,1.0607961558665862,0.6777363305717387,0.6676189116037023,0.708207575013042,0.3170614474019352,0.6293564582710154,0.3532201316168118,0.037456927689305634,First-order synergy on the canonical MCT-LRQ family partition.,16,10.0,0.056992057462346125
paper_first_order_canonical_power,fixed340_all,37.0,0.01833257822267502,0.014649960269831144,-0.0030144904771618403,0.019612114745099423,0.01780370649197643,0.9077912669476468,0.552868658131816,0.5364328620944236,0.4869690675130475,0.451902584837404,0.5909209326259812,0.36452173963540907,0.01309747273920004,First-order synergy on the canonical MCT-LRQ family partition.,16,10.0,0.056992057462346125
paper_first_order_canonical_power,fixed340_1x,13.0,0.01485801328619991,0.012060203610999208,-0.0008905960613527006,0.013663776232598852,0.018465102486305996,1.3513908726236459,0.30769230769230765,0.6097655568061251,0.8240316079080724,0.15432539422033306,0.4512133159685329,0.48446871787274365,0.010827583372999536,First-order synergy on the canonical MCT-LRQ family partition.,16,10.0,0.056992057462346125
paper_first_order_canonical_power,external_60m,293.0,0.053838329651622926,0.03645076788895135,-0.03122247835543524,0.04334024561371067,0.037744878525180235,0.8708967379095715,0.5843224516896545,0.4215885783709642,0.36716011764320694,0.6728934507912426,0.4840856097163818,0.5891356023994799,0.05697915219758887,First-order synergy on the canonical MCT-LRQ family partition.,16,10.0,0.056992057462346125
paper_first_order_canonical_power,external_900m,4.0,0.04618352765770085,0.04249463109566959,-0.005776862411220163,0.01834397465097202,0.046043583861497886,2.5100113109379003,0.39999999999999997,0.2113174837676621,0.5304092744557614,0.37644542507123707,0.08418985318783297,0.7459079089764689,0.028722073132202652,First-order synergy on the canonical MCT-LRQ family partition.,16,10.0,0.056992057462346125
paper_first_order_canonical_power,seed7_train,579.0,0.04813106097184733,0.03486678814825735,4.2219917771042076e-07,0.07272246108853102,0.060544854321253644,0.8325468282426172,0.8350039046344636,0.753767965328202,0.6275471287648863,0.3939698087367141,0.9053760578480535,0.10008996292066576,0.033676317623163324,First-order synergy on the canonical MCT-LRQ family partition.,16,10.0,0.056992057462346125
paper_first_order_canonical_power,seed7_holdout,61.0,0.03838530675716164,0.027389296340233432,0.01798998195254217,0.06891815131081871,0.09348098174840061,1.3564058230001599,0.9198307773664727,0.9575897094441304,1.2988802579350498,-0.26810283173973193,0.705975817271331,0.2687440110539297,0.024989594034724068,First-order synergy on the canonical MCT-LRQ family partition.,16,10.0,0.056992057462346125
paper_first_order_canonical_power,fixed340_holdout,27.0,0.017898789273292786,0.01468989512659878,-0.006011633892364554,0.017544144667071045,0.015528127270475879,0.885088875242857,0.5482295482295482,0.48580379732047185,0.4299795365590858,0.5032234448026234,0.5488757241324194,0.4063172872652461,0.013279375886297313,First-order synergy on the canonical MCT-LRQ family partition.,16,10.0,0.056992057462346125
paper_first_order_canonical_power,random_supplement,34.0,0.048878432184042774,0.03747411495106094,0.03705008865290926,0.049681088878676775,0.06700804248273026,1.3487635636643676,0.7922077922077921,0.892435904525399,1.2036850309297062,-0.16824854381333512,0.6616696421578865,0.3164957065228927,0.045338392619044834,First-order synergy on the canonical MCT-LRQ family partition.,16,10.0,0.056992057462346125
paper_first_order_canonical_power,all900_holdout,4.0,0.04618352765770085,0.04249463109566959,-0.005776862411220163,0.01834397465097202,0.046043583861497886,2.5100113109379003,0.39999999999999997,0.2113174837676621,0.5304092744557614,0.37644542507123707,0.08418985318783297,0.7459079089764689,0.028722073132202652,First-order synergy on the canonical MCT-LRQ family partition.,16,10.0,0.056992057462346125
paper_entropy_current_source_power,all_rows,641.0,0.04560488904829157,0.03338159651658813,0.0015751396314742968,0.07844420156998826,0.0706203473615191,0.9002621729601177,0.8698818069327302,0.8180324306922594,0.7364436536068606,0.27775460180087413,0.9086602272785921,0.09428325370801945,0.02876716491185212,Paper log-D decomposition entropy term on source-aware shares.,10,10.0,0.06057279043304683
paper_entropy_current_source_power,fit_region,343.0,0.03878653331574896,0.03141181598648309,0.02945776236208607,0.053377957995540834,0.07354755661600439,1.3778638107914978,0.899070469243826,0.9707293267206867,1.3375328093624306,-0.30669994330002537,0.7045176156873317,0.2735250809226297,0.02686469717695955,Paper log-D decomposition entropy term on source-aware shares.,10,10.0,0.06057279043304683
paper_entropy_current_source_power,anchor_100m_1x,242.0,0.02959802159007431,0.02672269808789822,0.02663805685501947,0.018544670803931216,0.01967026172318637,1.0606961930549095,0.7783086745742348,0.7735751403803977,0.8205282064434065,0.20561762924098506,0.7293088685011911,0.25052136013800436,0.03317575531353784,Paper log-D decomposition entropy term on source-aware shares.,10,10.0,0.06057279043304683
paper_entropy_current_source_power,fixed340_all,37.0,0.013543629512609304,0.0115819957923393,-0.0063767085801292355,0.019612114745099423,0.016956435046687614,0.864589834756326,0.7752489331436699,0.7959491491190187,0.6881695433112507,0.27013098397398233,0.9206089605984651,0.07626843140544776,0.008128629859624708,Paper log-D decomposition entropy term on source-aware shares.,10,10.0,0.06057279043304683
paper_entropy_current_source_power,fixed340_1x,13.0,0.010623032824937758,0.009211248265453378,-0.004859253957239655,0.013663776232598852,0.01782762014639777,1.3047359560722955,0.6593406593406593,0.852419823983905,1.1121827940206122,-0.10381204462307296,0.6533274568058813,0.3089632489855187,0.010227131449841928,Paper log-D decomposition entropy term on source-aware shares.,10,10.0,0.06057279043304683
paper_entropy_current_source_power,external_60m,293.0,0.05257805155240177,0.03565941670725833,-0.03083035308565155,0.04334024561371067,0.04274119678138385,0.9861780009816715,0.6307443735078887,0.5104814563260143,0.5034255821378014,0.521672684999397,0.5176362237018727,0.5526507754327034,0.06007581735919734,Paper log-D decomposition entropy term on source-aware shares.,10,10.0,0.06057279043304683
paper_entropy_current_source_power,external_900m,4.0,0.04155680361603468,0.039786282202339235,-0.011264568147836579,0.01834397465097202,0.0433735956566149,2.3644600737777735,0.19999999999999998,0.38817151065777905,0.9178160387283176,0.05562887749086513,0.16416919658008153,0.6821718488779709,0.0419559414776316,Paper log-D decomposition entropy term on source-aware shares.,10,10.0,0.06057279043304683
paper_entropy_current_source_power,seed7_train,579.0,0.04668495688943138,0.03428635808984729,4.914984914229507e-07,0.07272246108853102,0.06232593245126477,0.8570382728850485,0.8478986649406639,0.7714948056683562,0.661200575789794,0.3583722792437048,0.9001871095806172,0.10557861532490508,0.030489432258677663,Paper log-D decomposition entropy term on source-aware shares.,10,10.0,0.06057279043304683
paper_entropy_current_source_power,seed7_holdout,61.0,0.034170204377888216,0.025289489326089584,0.016598739514236707,0.06891815131081871,0.09253506549130147,1.3426806107141673,0.9651507139079851,0.9737879913554248,1.3074862549392239,-0.27773186785019954,0.7252566124697888,0.2509502817770788,0.01804007894102787,Paper log-D decomposition entropy term on source-aware shares.,10,10.0,0.06057279043304683
paper_entropy_current_source_power,fixed340_holdout,27.0,0.013566847202522535,0.011846494528241899,-0.007788162454092385,0.017544144667071045,0.013450075213985044,0.7666418323162689,0.7912087912087912,0.7740339145005473,0.5934067784876327,0.3554470973887519,1.0096421586622093,-0.0007506887323417375,0.007489115948390956,Paper log-D decomposition entropy term on source-aware shares.,10,10.0,0.06057279043304683
paper_entropy_current_source_power,random_supplement,34.0,0.04414354014408319,0.0359648087243804,0.0359648087243804,0.049681088878676775,0.0642304393843136,1.2928549038280324,0.9046600458365165,0.9305083414208618,1.203012272258847,-0.16865573544800808,0.7197314552976565,0.2566038399914905,0.03969865669031416,Paper log-D decomposition entropy term on source-aware shares.,10,10.0,0.06057279043304683
paper_entropy_current_source_power,all900_holdout,4.0,0.04155680361603468,0.039786282202339235,-0.011264568147836579,0.01834397465097202,0.0433735956566149,2.3644600737777735,0.19999999999999998,0.38817151065777905,0.9178160387283176,0.05562887749086513,0.16416919658008153,0.6821718488779709,0.0419559414776316,Paper log-D decomposition entropy term on source-aware shares.,10,10.0,0.06057279043304683
paper_second_order_current_source_tau0.1,all_rows,641.0,0.047282957456431525,0.03417129445481263,0.0017511124085761126,0.07844420156998826,0.06912479995905016,0.8811970620591595,0.8569793070409129,0.8021406850903561,0.7068440150597436,0.30894789731076755,0.9102852467709475,0.0924176583302341,0.033021848126685016,"Paper second-order soft-min co-occurrence terms on source-aware groups, tau=0.1.",30,10.0,0.059031938597023374
paper_second_order_current_source_tau0.1,fit_region,343.0,0.040929486284953014,0.03222179733068003,0.029978409986965254,0.053377957995540834,0.07377291463416262,1.3820857410904623,0.8434740743648396,0.9542181963137919,1.3188113630143508,-0.28753412022410063,0.690418957336841,0.28762215148339293,0.033069067624960244,"Paper second-order soft-min co-occurrence terms on source-aware groups, tau=0.1.",30,10.0,0.059031938597023374
paper_second_order_current_source_tau0.1,anchor_100m_1x,242.0,0.030506799007076903,0.026409543996277766,0.02616901903765158,0.018544670803931216,0.019493996646925454,1.0511913019665462,0.6705755742597187,0.6612179776749184,0.6950665868357854,0.33026611871428824,0.6290177405748332,0.35350402247037854,0.03818224797554056,"Paper second-order soft-min co-occurrence terms on source-aware groups, tau=0.1.",30,10.0,0.059031938597023374
