run_order,run_id,row_id,prefix_state_id,prefix_candidate_id,prefix_repeat_seed,continuation_id,action_id,role,fit_budget,data_seed,trainer_seed
83,1010083,screen10__p06__local_plus_24,cap4_shared_bounded_ensemble_kl0p2,cap4_shared_bounded_ensemble_kl0p2,0,local_plus_24,local_plus_24,local_interior_forward,True,974000,0
84,1010084,screen10__p06__local_minus_24,cap4_shared_bounded_ensemble_kl0p2,cap4_shared_bounded_ensemble_kl0p2,0,local_minus_24,local_minus_24,local_interior_reverse,True,974000,0
85,1010085,screen10__p06__local_plus_30,cap4_shared_bounded_ensemble_kl0p2,cap4_shared_bounded_ensemble_kl0p2,0,local_plus_30,local_plus_30,local_boundary_activation,True,974000,0
86,1010086,screen10__p06__local_plus_10,cap4_shared_bounded_ensemble_kl0p2,cap4_shared_bounded_ensemble_kl0p2,0,local_plus_10,local_plus_10,local_boundary_activation,True,974000,0
87,1010087,screen10__p06__local_plus_20,cap4_shared_bounded_ensemble_kl0p2,cap4_shared_bounded_ensemble_kl0p2,0,local_plus_20,local_plus_20,local_boundary_activation,True,974000,0
88,1010088,screen10__p06__control_tied,cap4_shared_bounded_ensemble_kl0p2,cap4_shared_bounded_ensemble_kl0p2,0,control_tied,control_tied,prefix_tied_control,False,974000,0
89,1010089,screen10__p06__control_anchor_repeat,cap4_shared_bounded_ensemble_kl0p2,cap4_shared_bounded_ensemble_kl0p2,0,control_anchor_repeat,local_anchor_fit079,anchor_exposure_noise_control,False,974001,0
90,1010090,screen10__p06__control_local_sentinel_repeat,cap4_shared_bounded_ensemble_kl0p2,cap4_shared_bounded_ensemble_kl0p2,0,control_local_sentinel_repeat,local_plus_24,local_action_exposure_noise_control,False,974002,0
91,1010091,screen10__p07__local_anchor_fit079,cap4_shared_bounded_ensemble_kl0__seed1,cap4_shared_bounded_ensemble_kl0,1,local_anchor_fit079,local_anchor_fit079,validated_frontier_anchor,True,974000,0
92,1010092,screen10__p07__local_plus_37,cap4_shared_bounded_ensemble_kl0__seed1,cap4_shared_bounded_ensemble_kl0,1,local_plus_37,local_plus_37,local_interior_forward,True,974000,0
93,1010093,screen10__p07__local_minus_37,cap4_shared_bounded_ensemble_kl0__seed1,cap4_shared_bounded_ensemble_kl0,1,local_minus_37,local_minus_37,local_interior_reverse,True,974000,0
94,1010094,screen10__p07__local_plus_32,cap4_shared_bounded_ensemble_kl0__seed1,cap4_shared_bounded_ensemble_kl0,1,local_plus_32,local_plus_32,local_interior_forward,True,974000,0
95,1010095,screen10__p07__local_minus_32,cap4_shared_bounded_ensemble_kl0__seed1,cap4_shared_bounded_ensemble_kl0,1,local_minus_32,local_minus_32,local_interior_reverse,True,974000,0
96,1010096,screen10__p07__local_plus_24,cap4_shared_bounded_ensemble_kl0__seed1,cap4_shared_bounded_ensemble_kl0,1,local_plus_24,local_plus_24,local_interior_forward,True,974000,0
97,1010097,screen10__p07__local_minus_24,cap4_shared_bounded_ensemble_kl0__seed1,cap4_shared_bounded_ensemble_kl0,1,local_minus_24,local_minus_24,local_interior_reverse,True,974000,0
98,1010098,screen10__p07__local_plus_30,cap4_shared_bounded_ensemble_kl0__seed1,cap4_shared_bounded_ensemble_kl0,1,local_plus_30,local_plus_30,local_boundary_activation,True,974000,0
99,1010099,screen10__p07__local_plus_10,cap4_shared_bounded_ensemble_kl0__seed1,cap4_shared_bounded_ensemble_kl0,1,local_plus_10,local_plus_10,local_boundary_activation,True,974000,0
100,1010100,screen10__p07__local_plus_20,cap4_shared_bounded_ensemble_kl0__seed1,cap4_shared_bounded_ensemble_kl0,1,local_plus_20,local_plus_20,local_boundary_activation,True,974000,0
101,1010101,screen10__p07__control_tied,cap4_shared_bounded_ensemble_kl0__seed1,cap4_shared_bounded_ensemble_kl0,1,control_tied,control_tied,prefix_tied_control,False,974000,0
102,1010102,screen10__p07__control_anchor_repeat,cap4_shared_bounded_ensemble_kl0__seed1,cap4_shared_bounded_ensemble_kl0,1,control_anchor_repeat,local_anchor_fit079,anchor_exposure_noise_control,False,974001,0
