run_name,legacy_alias_all43_aggregate_mean_theta,legacy_alias_all43_rank,fixed_all43_aggregate_mean_theta,fixed_all43_rank,fixed_common43_aggregate_mean_theta,fixed_common43_rank,variable_common43_aggregate_mean_theta,variable_common43_rank
run_00107,0.16629351601078182,81,-0.09256266496047943,151,-0.09256266496047943,151,-0.1132778556705647,156
run_00123,0.16407055223762476,82,-0.01050505061711641,128,-0.01050505061711641,128,0.018603546109192754,123
run_00231,0.16155806531258107,83,0.21973439305992234,66,0.21973439305992234,66,0.2544459915142236,61
run_00046,0.15751339019921068,84,0.36608783001697637,38,0.36608783001697637,38,0.4418321085385986,24
run_00127,0.15446215805389246,85,0.12881641174745587,89,0.12881641174745587,89,0.2931957445738371,55
run_00101,0.14450313376196178,86,0.003060578838192033,123,0.003060578838192033,123,0.008054122771160651,128
run_00169,0.1417248095671151,87,0.29267213737288694,52,0.29267213737288694,52,0.37128789324175254,35
run_00222,0.13857895610089313,88,-0.14316113887907336,162,-0.14316113887907336,162,-0.41053658542139315,207
run_00015,0.13483842544632282,89,0.20625528893162612,67,0.20625528893162612,67,0.3631948881867357,37
run_00203,0.13376693966452524,90,0.23340172203884202,61,0.23340172203884202,61,0.15981914465402616,88
run_00076,0.12615519703198716,91,0.03737114055659829,113,0.03737114055659829,113,0.011336237913411077,127
run_00172,0.12609568170119215,92,-0.029001464196430442,135,-0.029001464196430442,135,-0.017272868613102944,132
run_00137,0.12322723123261503,93,-0.001859531792998359,124,-0.001859531792998359,124,-0.3034144002760493,187
run_00191,0.1229928405636735,94,0.5676522360290444,13,0.5676522360290444,13,0.6685257431493294,7
run_00052,0.11562584795413655,95,-0.07419714608028838,146,-0.07419714608028838,146,-0.04322705586431622,139
run_00040,0.10983538200413834,96,0.0457438895728007,109,0.0457438895728007,109,0.15012223746678888,90
run_00091,0.10837928268353896,97,0.1541885116810785,83,0.1541885116810785,83,0.2578296507611196,60
run_00149,0.10483791325423036,98,-0.2829265355280536,196,-0.2829265355280536,196,0.014702060657343252,125
run_00152,0.10379077945835762,99,0.49342756359200574,20,0.49342756359200574,20,0.35830673776973004,42
run_00212,0.10114587454536834,100,0.17252816321135436,78,0.17252816321135436,78,0.1492220750697823,91
run_00084,0.09500031668606668,101,0.058241163743575075,106,0.058241163743575075,106,0.10089431453535079,106
run_00108,0.08858438672168056,102,-0.09316895190132529,153,-0.09316895190132529,153,-0.15263930699747857,162
run_00236,0.08824718177721246,103,0.07354701656332048,103,0.07354701656332048,103,0.020917650769673262,122
run_00141,0.08655820719058292,104,-0.012784521801900345,129,-0.012784521801900345,129,0.118663946040837,102
run_00095,0.08479267082659574,105,-0.21264465864958537,182,-0.21264465864958537,182,-0.06031119055295355,143
run_00143,0.08105463330236258,106,-0.04612689235613295,139,-0.04612689235613295,139,0.05936449922865953,117
run_00170,0.07428405910875253,107,-0.32272854403405776,202,-0.32272854403405776,202,-0.33745424299184007,196
run_00171,0.06620935413518503,108,-0.22246606878974953,184,-0.22246606878974953,184,-0.38412651673078324,204
run_00026,0.06295454136351238,109,-0.01863464978696931,132,-0.01863464978696931,132,-0.0314944825056398,137
run_00121,0.06162584753322623,110,-0.15279895576643707,165,-0.15279895576643707,165,0.022396963627189348,121
run_00114,0.059687631801943274,111,-0.1904519165883277,176,-0.1904519165883277,176,-0.396144811127981,205
run_00006,0.05943353536527691,112,0.011962293709022678,122,0.011962293709022678,122,0.2183390278626164,68
run_00071,0.05742516997512037,113,0.246663385311071,59,0.246663385311071,59,0.4589950291768417,20
run_00161,0.05441522484070745,114,-0.002544721978432918,125,-0.002544721978432918,125,0.09649098698801277,107
run_00193,0.05020202878866351,115,-0.171202021305598,172,-0.171202021305598,172,-0.2672733167282453,184
run_00220,0.04080057554376514,116,0.14065716271549797,87,0.14065716271549797,87,0.06537954615184953,115
run_00205,0.03959374122004655,117,0.14691146896701987,86,0.14691146896701987,86,0.2425650645869171,63
run_00088,0.03809134882453802,118,0.15274098598007754,84,0.15274098598007754,84,0.06783712284378614,114
run_00117,0.036434735373372745,119,0.034816477899559294,114,0.034816477899559294,114,-0.19356753095093962,171
run_00034,0.03522130468958706,120,0.09028051052652898,98,0.09028051052652898,98,0.21878881652761528,67
run_00072,0.03445459711215946,121,-0.04818632460328639,140,-0.04818632460328639,140,-0.009549734478626096,131
run_00206,0.030823209156113734,122,-0.287670241069832,197,-0.287670241069832,197,-0.3187122114891461,192
run_00014,0.029166416249479982,123,-0.16966833313488597,171,-0.16966833313488597,171,-0.10961241510732783,155
run_00129,0.026984304099615847,124,0.04363966949338882,111,0.04363966949338882,111,0.1429810184878406,96
run_00187,0.023067723054320474,125,0.0276325973526162,116,0.0276325973526162,116,0.07808274730117641,112
run_00087,0.014038086696790778,126,-0.14445422586092382,163,-0.14445422586092382,163,-0.25433539310280207,182
run_00157,0.00940072452780522,127,-0.09539175534360315,156,-0.09539175534360315,156,-0.15777963798185177,165
run_00110,-0.0013565296272515237,128,0.02187434316646855,119,0.02187434316646855,119,-0.0274463094544893,136
run_00106,-0.0051636337391759435,129,-0.32239462947820274,201,-0.32239462947820274,201,-0.30821071398935856,189
run_00195,-0.008870380917236223,130,-0.11673931770828162,158,-0.11673931770828162,158,-0.19683798678797068,173
run_00179,-0.012676161343452064,131,-0.3957928610926061,209,-0.3957928610926061,209,-0.35231208847994333,198
run_00096,-0.016601909753511623,132,-0.1538120827576458,166,-0.1538120827576458,166,-0.3064192624851146,188
run_00198,-0.017624108587768146,133,0.05639312603003441,107,0.05639312603003441,107,0.10448734972098687,104
run_00054,-0.020406667013969666,134,-0.021793349053798622,133,-0.021793349053798622,133,0.0787841209567907,111
run_00139,-0.020610011848808413,135,0.166330871713275,79,0.166330871713275,79,-0.09982963988593758,153
run_00019,-0.03139146381588657,136,-0.24102449944514012,189,-0.24102449944514012,189,-0.4301982189448392,212
run_00210,-0.03150755273611131,137,-0.2685407296271353,192,-0.2685407296271353,192,-0.3656218937222364,200
run_00030,-0.03862324447437047,138,-0.19593541301689385,178,-0.19593541301689385,178,-0.20188993634932392,174
run_00116,-0.04722804353070333,139,-0.08976230375727227,149,-0.08976230375727227,149,-0.0785840433140017,148
run_00144,-0.05583750631517256,140,0.022325877963319304,117,0.022325877963319304,117,-0.08559015703909816,149
run_00182,-0.06050863741917514,141,0.33644472374109463,44,0.33644472374109463,44,0.17621888967102603,81
run_00135,-0.061117443132764494,142,-0.2725828365580003,194,-0.2725828365580003,194,0.042834088685342074,118
run_00176,-0.06267196818829772,143,0.06842891238960497,104,0.06842891238960497,104,0.018444744513930078,124
run_00153,-0.06302417016054146,144,-0.39426041941927864,207,-0.39426041941927864,207,-0.4703886301748795,218
run_00002,-0.06529760979035454,145,-0.3314872924183229,203,-0.3314872924183229,203,-0.5270729495865273,222
run_00196,-0.07068112455436477,146,-0.17485887234234754,173,-0.17485887234234754,173,-0.5157137517927327,219
run_00177,-0.07903097874067373,147,0.2503069343396129,58,0.2503069343396129,58,0.14906973507243404,92
run_00074,-0.0805771413099711,148,-0.19530125133990572,177,-0.19530125133990572,177,-0.2138916932245707,176
run_00204,-0.08157312669149246,149,0.17731303262389683,77,0.17731303262389683,77,0.15171346448817916,89
run_00238,-0.08186771154612271,150,0.3897509944063089,32,0.3897509944063089,32,0.432786362450297,27
run_00027,-0.08258279163713116,151,0.012965821826685533,121,0.012965821826685533,121,0.06040466261471849,116
run_00146,-0.08427443118477584,152,0.03804767321207059,112,0.03804767321207059,112,0.19430997585862397,73
run_00069,-0.08674677069604986,153,0.06606289568362365,105,0.06606289568362365,105,0.1435387320666715,95
run_00103,-0.09034088610219422,154,0.03340228467871431,115,0.03340228467871431,115,0.17158583089513046,83
run_00197,-0.09043301535871832,155,0.22208804712194977,64,0.22208804712194977,64,0.202157489764182,72
run_00041,-0.09051418783492242,156,-0.13578114340147748,161,-0.13578114340147748,161,-0.22046081883567833,178
