run_name,kind,block,source,effective_buckets,nonzero_buckets,max_epochs,max_epochs_bucket,cc_share,synth_qa_share,stack_share,tv_to_proportional
apriori_swarm_161_lhs_type_epoch_ratios_073,lhs_type_epoch_ratios_073,lhs,new,21.20406577473601,39,6.013924005542015,dolma3_finemath_3plus,0.4742718367618677,0.1057079112367426,0.19478065664872915,0.22544467458345835
apriori_swarm_162_lhs_type_epoch_ratios_074,lhs_type_epoch_ratios_074,lhs,new,10.370823479036476,39,8.58792079429285,dolmino_stack_edu_fim,0.1684866511263137,0.3036222615591588,0.3447357972935555,0.5776330052000689
apriori_swarm_163_lhs_type_epoch_ratios_075,lhs_type_epoch_ratios_075,lhs,new,6.4865384473885355,39,10.5796075568784,dolma3_wikipedia,0.17061007384591018,0.04097011852703729,0.044850967900128096,0.5227589820243457
apriori_swarm_164_lhs_type_epoch_ratios_076,lhs_type_epoch_ratios_076,lhs,new,3.9714391668313875,39,3.887042736733062,dolmino_stem_heavy_crawl,0.15323915878849462,0.023939319724275012,0.0034640687920727085,0.590027087303861
apriori_swarm_165_ladder_B_small_pools_forward_dolmino_synth_qa_x0.25,ladder_B_small_pools_forward_dolmino_synth_qa_x0.25,ladder,new,11.544477763888189,39,2.1680985721707264,dolma3_wikipedia,0.3285309417115031,0.045173385629456095,0.045923619762059345,0.34559083715795563
apriori_swarm_166_ladder_B_small_pools_forward_dolmino_synth_qa_x3,ladder_B_small_pools_forward_dolmino_synth_qa_x3,ladder,new,8.722068084053749,39,4.345156155535745,dolmino_synth_qa,0.2194731460375815,0.36213374641485574,0.030679001661473977,0.4320426432344057
apriori_swarm_167_ladder_B_small_pools_forward_dolmino_synth_qa_x8,ladder_B_small_pools_forward_dolmino_synth_qa_x8,ladder,new,5.025476468110117,39,7.225866335904926,dolmino_synth_qa,0.13686650958168242,0.6022177232872318,0.01913185257816269,0.5267638472970123
apriori_swarm_168_ladder_B_small_pools_forward_dolmino_olmocr_pdfs_hq_x0.25,ladder_B_small_pools_forward_dolmino_olmocr_pdfs_hq_x0.25,ladder,new,10.894443601567977,39,2.002701581542787,dolma3_arxiv,0.3034684146729646,0.16690903634178492,0.04242026036462127,0.3535462529705473
apriori_swarm_169_ladder_B_small_pools_forward_dolmino_olmocr_pdfs_hq_x3,ladder_B_small_pools_forward_dolmino_olmocr_pdfs_hq_x3,ladder,new,11.06528228629915,39,5.094713718661415,dolmino_olmocr_pdfs_hq,0.2573331792853786,0.14153444278402774,0.03597125742890047,0.38889035421918206
apriori_swarm_170_ladder_B_small_pools_forward_dolmino_olmocr_pdfs_hq_x8,ladder_B_small_pools_forward_dolmino_olmocr_pdfs_hq_x8,ladder,new,8.815811354758889,39,10.643824673612727,dolmino_olmocr_pdfs_hq,0.20160670900291777,0.1108846255251271,0.0281815459983688,0.45240653593217456
