prefix_candidate_id,continuation_id,bucket,phase_1_count,phase_1_weight,phase_1_materialized_epochs,total_materialized_epochs
proportional_control,cross_tied_seed0_data1,dolma3_cc/health_low,54,0.0263671875,0.18139334588548378,0.8985993263223224
proportional_control,cross_tied_seed0_data1,dolma3_cc/history_and_geography_high,40,0.01953125,0.1845719237018303,0.9143455923746353
proportional_control,cross_tied_seed0_data1,dolma3_cc/history_and_geography_low,11,0.00537109375,0.18444064574679658,0.9136952582547238
proportional_control,cross_tied_seed0_data1,dolma3_cc/industrial_high,24,0.01171875,0.1832036095690551,0.9075671399903603
proportional_control,cross_tied_seed0_data1,dolma3_cc/industrial_low,13,0.00634765625,0.18742375938496522,0.9284732198856515
proportional_control,cross_tied_seed0_data1,dolma3_cc/literature_high,76,0.037109375,0.18340849434259293,0.9085821128306046
proportional_control,cross_tied_seed0_data1,dolma3_cc/literature_low,20,0.009765625,0.1810197475839711,0.896748568344318
proportional_control,cross_tied_seed0_data1,dolma3_cc/science_math_and_technology_high,71,0.03466796875,0.18213105873268676,0.9022538609706575
proportional_control,cross_tied_seed0_data1,dolma3_cc/science_math_and_technology_low,33,0.01611328125,0.1854438746030024,0.9186651250926331
proportional_control,cross_tied_seed0_data1,dolma3_finemath_3plus,10,0.0048828125,0.18335639145986643,0.9083240018448409
proportional_control,cross_tied_seed0_data1,dolma3_stack_edu,39,0.01904296875,0.18135446397530508,0.8984067103356548
proportional_control,cross_tied_seed0_data1,dolma3_wikipedia,1,0.00048828125,0.16991612319061938,0.8417426399245347
proportional_control,cross_tied_seed0_data1,dolmino_common_crawl_hq,386,0.1884765625,0.18264463270635706,0.9047980404415414
proportional_control,cross_tied_seed0_data1,dolmino_olmocr_pdfs_hq,60,0.029296875,0.18167222724010124,0.8999808687166135
proportional_control,cross_tied_seed0_data1,dolmino_stack_edu_fim,39,0.01904296875,0.18160910623982665,0.8996681753923539
proportional_control,cross_tied_seed0_data1,dolmino_stem_heavy_crawl,2,0.0009765625,0.2391542982682933,1.1847396620968005
proportional_control,cross_tied_seed0_data1,dolmino_synth_code,6,0.0029296875,0.19833054481400952,0.9825040333702251
proportional_control,cross_tied_seed0_data1,dolmino_synth_instruction,5,0.00244140625,0.17336780105170385,0.8588418085048988
proportional_control,cross_tied_seed0_data1,dolmino_synth_math,6,0.0029296875,0.17142626810075928,0.8492237037545027
proportional_control,cross_tied_seed0_data1,dolmino_synth_qa,155,0.07568359375,0.18331305698450012,0.9081093284223918
proportional_control,cross_tied_seed0_data1,dolmino_synth_thinking,12,0.005859375,0.18751229468005354,0.9289118123606606
proportional_control,cross_fit079_seed0_data1,dolma3_arxiv,45,0.02197265625,0.993536649053098,1.6919039806225462
proportional_control,cross_fit079_seed0_data1,dolma3_cc/art_and_design_high,0,0.0,0.0,0.7124961337793261
proportional_control,cross_fit079_seed0_data1,dolma3_cc/art_and_design_low,0,0.0,0.0,0.7447143493538331
proportional_control,cross_fit079_seed0_data1,dolma3_cc/crime_and_law_high,9,0.00439453125,0.03651226996517476,0.7583363878928471
proportional_control,cross_fit079_seed0_data1,dolma3_cc/crime_and_law_low,29,0.01416015625,0.2619080182704724,0.9760808795431346
proportional_control,cross_fit079_seed0_data1,dolma3_cc/education_and_jobs_high,0,0.0,0.0,0.7259857036332872
proportional_control,cross_fit079_seed0_data1,dolma3_cc/education_and_jobs_low,0,0.0,0.0,0.7210400751017036
proportional_control,cross_fit079_seed0_data1,dolma3_cc/electronics_and_hardware_high,0,0.0,0.0,0.7251583483661647
proportional_control,cross_fit079_seed0_data1,dolma3_cc/electronics_and_hardware_low,0,0.0,0.0,0.7120485837968755
proportional_control,cross_fit079_seed0_data1,dolma3_cc/entertainment_high,0,0.0,0.0,0.7219034178443723
proportional_control,cross_fit079_seed0_data1,dolma3_cc/entertainment_low,0,0.0,0.0,0.7199013633157534
proportional_control,cross_fit079_seed0_data1,dolma3_cc/finance_and_business_high,0,0.0,0.0,0.7205237060350249
proportional_control,cross_fit079_seed0_data1,dolma3_cc/finance_and_business_low,0,0.0,0.0,0.7227855304837312
proportional_control,cross_fit079_seed0_data1,dolma3_cc/food_and_dining_high,0,0.0,0.0,0.7214449213137721
proportional_control,cross_fit079_seed0_data1,dolma3_cc/food_and_dining_low,0,0.0,0.0,0.7328515879237343
proportional_control,cross_fit079_seed0_data1,dolma3_cc/games_high,0,0.0,0.0,0.7200575477993656
proportional_control,cross_fit079_seed0_data1,dolma3_cc/games_low,0,0.0,0.0,0.7274868079184583
proportional_control,cross_fit079_seed0_data1,dolma3_cc/health_high,0,0.0,0.0,0.7245602939720119
proportional_control,cross_fit079_seed0_data1,dolma3_cc/health_low,0,0.0,0.0,0.7172059804368387
proportional_control,cross_fit079_seed0_data1,dolma3_cc/history_and_geography_high,0,0.0,0.0,0.729773668672805
proportional_control,cross_fit079_seed0_data1,dolma3_cc/history_and_geography_low,0,0.0,0.0,0.7292546125079272
proportional_control,cross_fit079_seed0_data1,dolma3_cc/industrial_high,50,0.0244140625,0.38167418660219815,1.1060377170235034
proportional_control,cross_fit079_seed0_data1,dolma3_cc/industrial_low,24,0.01171875,0.3460130942491666,1.0870625547498527
proportional_control,cross_fit079_seed0_data1,dolma3_cc/literature_high,236,0.115234375,0.5695316403269991,1.2947052588150108
proportional_control,cross_fit079_seed0_data1,dolma3_cc/literature_low,66,0.0322265625,0.5973651670271046,1.3130939877874517
proportional_control,cross_fit079_seed0_data1,dolma3_cc/science_math_and_technology_high,221,0.10791015625,0.5669149856327292,1.2870377878707
proportional_control,cross_fit079_seed0_data1,dolma3_cc/science_math_and_technology_low,121,0.05908203125,0.6799608735443422,1.4131821240339728
proportional_control,cross_fit079_seed0_data1,dolma3_finemath_3plus,55,0.02685546875,1.0084601530292654,1.7334277634142397
proportional_control,cross_fit079_seed0_data1,dolma3_stack_edu,201,0.09814453125,0.934673006641957,1.6517252530023065
proportional_control,cross_fit079_seed0_data1,dolma3_wikipedia,5,0.00244140625,0.849580615953097,1.5214071326870122
proportional_control,cross_fit079_seed0_data1,dolmino_common_crawl_hq,0,0.0,0.0,0.7221534077351844
proportional_control,cross_fit079_seed0_data1,dolmino_olmocr_pdfs_hq,334,0.1630859375,1.0113087316365634,1.7296173731130757
proportional_control,cross_fit079_seed0_data1,dolmino_stack_edu_fim,201,0.09814453125,0.9359853936975682,1.6540444628500954
proportional_control,cross_fit079_seed0_data1,dolmino_stem_heavy_crawl,8,0.00390625,0.9566171930731732,1.9022025569016803
proportional_control,cross_fit079_seed0_data1,dolmino_synth_code,77,0.03759765625,2.5452419917797893,3.3294154803360048
proportional_control,cross_fit079_seed0_data1,dolmino_synth_instruction,16,0.0078125,0.5547769633654523,1.2402509708186473
proportional_control,cross_fit079_seed0_data1,dolmino_synth_math,35,0.01708984375,0.9999865639210959,1.6777839995748394
proportional_control,cross_fit079_seed0_data1,dolmino_synth_qa,283,0.13818359375,0.33469416210718406,1.0594904335450757
