backend,elapsed_seconds,event,gpu_index,gpu_utilization_percent,memory_total_mib,memory_used_mib,memory_utilization_percent,phase,power_watts,sm_clock_mhz,temperature_c,duration_seconds,batch_count,case_count,device_count,tensor_parallel_size,batch_index,batch_seconds,bucket_max_tokens,case_ids,inference_seconds,padded_tokens,padding_seconds,prompt_tokens,real_tokens,batch_row,case_id,golden_probability_gap_to_greedy,greedy_token_id,max_probability_error,rank,top_probability_l1_error,total_seconds,attention_backend,vllm_batch_invariant,vllm_use_flashinfer_sampler,wave_count,request_id,request_kind,request_seconds,response_bytes,wave,wave_seconds
levanter-gpu,25.07689,gpu_sample,0.0,0.0,81559.0,561.0,0.0,model_load,115.05,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,25.077043,gpu_sample,1.0,0.0,81559.0,61353.0,0.0,model_load,118.82,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,25.077074,gpu_sample,2.0,0.0,81559.0,541.0,0.0,model_load,116.87,1830.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,25.077099,gpu_sample,3.0,0.0,81559.0,541.0,0.0,model_load,118.75,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,25.07712,gpu_sample,4.0,0.0,81559.0,541.0,0.0,model_load,120.04,1830.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,25.077142,gpu_sample,5.0,0.0,81559.0,541.0,0.0,model_load,115.11,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,25.077163,gpu_sample,6.0,0.0,81559.0,541.0,0.0,model_load,118.62,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,25.077183,gpu_sample,7.0,0.0,81559.0,61353.0,0.0,model_load,120.49,1830.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,27.197206,gpu_sample,0.0,0.0,81559.0,563.0,0.0,model_load,114.97,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,27.197311,gpu_sample,1.0,0.0,81559.0,61355.0,0.0,model_load,118.75,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,27.197341,gpu_sample,2.0,0.0,81559.0,543.0,0.0,model_load,116.76,1830.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,27.197365,gpu_sample,3.0,0.0,81559.0,61355.0,0.0,model_load,118.77,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,27.197386,gpu_sample,4.0,0.0,81559.0,61355.0,0.0,model_load,119.96,1830.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,27.197406,gpu_sample,5.0,0.0,81559.0,61355.0,0.0,model_load,114.98,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,27.197426,gpu_sample,6.0,0.0,81559.0,61355.0,0.0,model_load,118.6,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,27.197448,gpu_sample,7.0,0.0,81559.0,61355.0,0.0,model_load,120.39,1830.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,29.317335,gpu_sample,0.0,4.0,81559.0,61377.0,0.0,model_load,115.08,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,29.317439,gpu_sample,1.0,0.0,81559.0,61357.0,0.0,model_load,118.83,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,29.317469,gpu_sample,2.0,0.0,81559.0,61357.0,0.0,model_load,116.93,1830.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,29.317493,gpu_sample,3.0,0.0,81559.0,61357.0,0.0,model_load,118.78,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,29.317514,gpu_sample,4.0,0.0,81559.0,61357.0,0.0,model_load,120.04,1830.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,29.317535,gpu_sample,5.0,0.0,81559.0,61357.0,0.0,model_load,115.07,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,29.317557,gpu_sample,6.0,0.0,81559.0,61357.0,0.0,model_load,118.63,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,29.317579,gpu_sample,7.0,0.0,81559.0,61357.0,0.0,model_load,120.38,1830.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,31.438565,gpu_sample,0.0,0.0,81559.0,61379.0,0.0,model_load,115.17,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,31.438723,gpu_sample,1.0,0.0,81559.0,61359.0,0.0,model_load,118.85,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,31.438763,gpu_sample,2.0,0.0,81559.0,61359.0,0.0,model_load,116.93,1830.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,31.43885,gpu_sample,3.0,0.0,81559.0,61359.0,0.0,model_load,118.77,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,31.438881,gpu_sample,4.0,0.0,81559.0,61359.0,0.0,model_load,120.16,1830.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,31.438907,gpu_sample,5.0,0.0,81559.0,61359.0,0.0,model_load,115.17,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,31.438932,gpu_sample,6.0,0.0,81559.0,61359.0,0.0,model_load,118.75,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,31.438958,gpu_sample,7.0,0.0,81559.0,61359.0,0.0,model_load,120.48,1830.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,33.558447,gpu_sample,0.0,0.0,81559.0,61379.0,0.0,model_load,115.19,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,33.558551,gpu_sample,1.0,0.0,81559.0,61359.0,0.0,model_load,118.94,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,33.558582,gpu_sample,2.0,0.0,81559.0,61359.0,0.0,model_load,116.93,1830.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,33.558604,gpu_sample,3.0,0.0,81559.0,61359.0,0.0,model_load,118.88,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,33.558626,gpu_sample,4.0,0.0,81559.0,61359.0,0.0,model_load,120.22,1830.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,33.558648,gpu_sample,5.0,0.0,81559.0,61359.0,0.0,model_load,115.19,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,33.55867,gpu_sample,6.0,0.0,81559.0,61359.0,0.0,model_load,118.71,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,33.558692,gpu_sample,7.0,0.0,81559.0,61359.0,0.0,model_load,120.5,1830.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,35.680164,gpu_sample,0.0,0.0,81559.0,61379.0,0.0,model_load,115.21,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,35.680323,gpu_sample,1.0,0.0,81559.0,61359.0,0.0,model_load,118.93,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,35.68036,gpu_sample,2.0,0.0,81559.0,61359.0,0.0,model_load,116.97,1830.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,35.680387,gpu_sample,3.0,0.0,81559.0,61359.0,0.0,model_load,118.92,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,35.680411,gpu_sample,4.0,0.0,81559.0,61359.0,0.0,model_load,120.22,1830.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,35.680436,gpu_sample,5.0,0.0,81559.0,61359.0,0.0,model_load,115.18,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,35.680516,gpu_sample,6.0,0.0,81559.0,61359.0,0.0,model_load,118.76,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,35.680574,gpu_sample,7.0,0.0,81559.0,61359.0,0.0,model_load,120.51,1830.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,37.799134,gpu_sample,0.0,0.0,81559.0,61381.0,0.0,model_load,115.29,1830.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,37.799315,gpu_sample,1.0,0.0,81559.0,61361.0,0.0,model_load,118.98,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,37.799351,gpu_sample,2.0,0.0,81559.0,61361.0,0.0,model_load,117.07,1830.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,37.799382,gpu_sample,3.0,0.0,81559.0,61361.0,0.0,model_load,118.92,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,37.799409,gpu_sample,4.0,0.0,81559.0,61361.0,0.0,model_load,120.27,1830.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,37.799434,gpu_sample,5.0,0.0,81559.0,61361.0,0.0,model_load,115.2,1830.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,37.79946,gpu_sample,6.0,0.0,81559.0,61361.0,0.0,model_load,118.79,1830.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,37.799486,gpu_sample,7.0,0.0,81559.0,61361.0,0.0,model_load,120.54,1830.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,39.954596,gpu_sample,0.0,6.0,81559.0,61381.0,0.0,model_load,115.32,1830.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,39.954713,gpu_sample,1.0,6.0,81559.0,61361.0,0.0,model_load,118.99,1830.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,39.954742,gpu_sample,2.0,6.0,81559.0,61361.0,0.0,model_load,117.14,1830.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,39.95478,gpu_sample,3.0,6.0,81559.0,61361.0,0.0,model_load,118.97,1830.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,39.954801,gpu_sample,4.0,10.0,81559.0,61361.0,0.0,model_load,120.33,1830.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
levanter-gpu,39.954825,gpu_sample,5.0,4.0,81559.0,61361.0,0.0,model_load,115.25,1830.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
