row_id,bucket,phase_1_count,phase_1_weight
p00__fit_maximin_04,dolma3_cc/art_and_design_high,247,0.12060546875
p00__fit_maximin_04,dolma3_cc/art_and_design_low,0,0.0
p00__fit_maximin_04,dolma3_cc/crime_and_law_high,1,0.00048828125
p00__fit_maximin_04,dolma3_cc/crime_and_law_low,0,0.0
p00__fit_maximin_04,dolma3_cc/education_and_jobs_high,0,0.0
p00__fit_maximin_04,dolma3_cc/education_and_jobs_low,430,0.2099609375
p00__fit_maximin_04,dolma3_cc/electronics_and_hardware_high,0,0.0
p00__fit_maximin_04,dolma3_cc/electronics_and_hardware_low,0,0.0
p00__fit_maximin_04,dolma3_cc/entertainment_high,354,0.1728515625
p00__fit_maximin_04,dolma3_cc/entertainment_low,8,0.00390625
p00__fit_maximin_04,dolma3_cc/finance_and_business_high,12,0.005859375
p00__fit_maximin_04,dolma3_cc/finance_and_business_low,12,0.005859375
p00__fit_maximin_04,dolma3_cc/food_and_dining_high,514,0.2509765625
p00__fit_maximin_04,dolma3_cc/food_and_dining_low,0,0.0
p00__fit_maximin_04,dolma3_cc/games_high,27,0.01318359375
p00__fit_maximin_04,dolma3_cc/games_low,0,0.0
p00__fit_maximin_04,dolma3_cc/health_high,1,0.00048828125
p00__fit_maximin_04,dolma3_cc/health_low,0,0.0
p00__fit_maximin_04,dolma3_cc/history_and_geography_high,0,0.0
p00__fit_maximin_04,dolma3_cc/history_and_geography_low,0,0.0
p00__fit_maximin_04,dolma3_cc/industrial_high,0,0.0
p00__fit_maximin_04,dolma3_cc/industrial_low,0,0.0
p00__fit_maximin_04,dolma3_cc/literature_high,2,0.0009765625
p00__fit_maximin_04,dolma3_cc/literature_low,0,0.0
p00__fit_maximin_04,dolma3_cc/science_math_and_technology_high,19,0.00927734375
p00__fit_maximin_04,dolma3_cc/science_math_and_technology_low,0,0.0
p00__fit_maximin_04,dolma3_finemath_3plus,0,0.0
p00__fit_maximin_04,dolma3_stack_edu,0,0.0
p00__fit_maximin_04,dolma3_wikipedia,0,0.0
p00__fit_maximin_04,dolmino_common_crawl_hq,170,0.0830078125
p00__fit_maximin_04,dolmino_olmocr_pdfs_hq,0,0.0
p00__fit_maximin_04,dolmino_stack_edu_fim,0,0.0
p00__fit_maximin_04,dolmino_stem_heavy_crawl,0,0.0
p00__fit_maximin_04,dolmino_synth_code,0,0.0
p00__fit_maximin_04,dolmino_synth_instruction,0,0.0
p00__fit_maximin_04,dolmino_synth_math,58,0.0283203125
p00__fit_maximin_04,dolmino_synth_qa,193,0.09423828125
p00__fit_maximin_04,dolmino_synth_thinking,0,0.0
