dataset,mode,policy,evaluation_model,subset_size,n_records,success_rate,R²_median,R²_q25,R²_q75,regret@1_median,regret@1_q25,regret@1_q75,Huber_median,Huber_q25,Huber_q75,RMSE_median,RMSE_q25,RMSE_q75,regret@5_median,regret@5_q25,regret@5_q75,chosen_true_rank_median,chosen_true_rank_q25,chosen_true_rank_q75,Spearman_median,Spearman_q25,Spearman_q75
two_phase_starcoder,retrospective,feature_bayes_linear_observed,CES-Overfit,48,1,1.0,0.9830661700812842,0.9830661700812842,0.9830661700812842,0.011268794536590576,0.011268794536590576,0.011268794536590576,0.0008511980737819638,0.0008511980737819638,0.0008511980737819638,0.042573366070660965,0.042573366070660965,0.042573366070660965,6.878376007080078e-05,6.878376007080078e-05,6.878376007080078e-05,25.0,25.0,25.0,0.9099604044131782,0.9099604044131782,0.9099604044131782
two_phase_starcoder,retrospective,feature_bayes_linear_observed,CES-Overfit,64,1,1.0,0.9853632657898084,0.9853632657898084,0.9853632657898084,0.004112839698791393,0.004112839698791393,0.004112839698791393,0.0006461811221775396,0.0006461811221775396,0.0006461811221775396,0.039580610231601095,0.039580610231601095,0.039580610231601095,6.878376007080078e-05,6.878376007080078e-05,6.878376007080078e-05,15.0,15.0,15.0,0.9385461115596048,0.9385461115596048,0.9385461115596048
two_phase_starcoder,retrospective,feature_bayes_linear_observed,CES-Overfit,96,1,1.0,0.9854680760307656,0.9854680760307656,0.9854680760307656,0.004112839698791393,0.004112839698791393,0.004112839698791393,0.00063976218339242,0.00063976218339242,0.00063976218339242,0.03943864186379307,0.03943864186379307,0.03943864186379307,6.878376007080078e-05,6.878376007080078e-05,6.878376007080078e-05,15.0,15.0,15.0,0.9396763156883099,0.9396763156883099,0.9396763156883099
two_phase_starcoder,retrospective,feature_bayes_linear_observed,DS-RE-CEQ,4,1,1.0,-0.2949823471642712,-0.2949823471642712,-0.2949823471642712,0.0672311782836914,0.0672311782836914,0.0672311782836914,0.025745346132613832,0.025745346132613832,0.025745346132613832,0.3722993830320357,0.3722993830320357,0.3722993830320357,0.02786397933959961,0.02786397933959961,0.02786397933959961,66.0,66.0,66.0,0.40137623495944336,0.40137623495944336,0.40137623495944336
two_phase_starcoder,retrospective,feature_bayes_linear_observed,DS-RE-CEQ,6,1,1.0,0.7708534301595584,0.7708534301595584,0.7708534301595584,0.004112839698791393,0.004112839698791393,0.004112839698791393,0.007530641269516543,0.007530641269516543,0.007530641269516543,0.15660912844560101,0.15660912844560101,0.15660912844560101,0.004112839698791393,0.004112839698791393,0.004112839698791393,15.0,15.0,15.0,0.8272632914312075,0.8272632914312075,0.8272632914312075
two_phase_starcoder,retrospective,feature_bayes_linear_observed,DS-RE-CEQ,8,1,1.0,0.8446587292672958,0.8446587292672958,0.8446587292672958,0.004686594009399414,0.004686594009399414,0.004686594009399414,0.006391805255275909,0.006391805255275909,0.006391805255275909,0.12894479591015662,0.12894479591015662,0.12894479591015662,0.0,0.0,0.0,17.0,17.0,17.0,0.870264867566217,0.870264867566217,0.870264867566217
two_phase_starcoder,retrospective,feature_bayes_linear_observed,DS-RE-CEQ,10,1,1.0,0.9650315921919695,0.9650315921919695,0.9650315921919695,0.004686594009399414,0.004686594009399414,0.004686594009399414,0.0016615127402738862,0.0016615127402738862,0.0016615127402738862,0.061178429139735854,0.061178429139735854,0.061178429139735854,0.0,0.0,0.0,17.0,17.0,17.0,0.9171029869680545,0.9171029869680545,0.9171029869680545
two_phase_starcoder,retrospective,feature_bayes_linear_observed,DS-RE-CEQ,12,1,1.0,0.9762264508751691,0.9762264508751691,0.9762264508751691,0.005128920078277588,0.005128920078277588,0.005128920078277588,0.0011438722236354214,0.0011438722236354214,0.0011438722236354214,0.050443754490316024,0.050443754490316024,0.050443754490316024,0.0036844611167906605,0.0036844611167906605,0.0036844611167906605,18.0,18.0,18.0,0.9393918425402684,0.9393918425402684,0.9393918425402684
two_phase_starcoder,retrospective,feature_bayes_linear_observed,DS-RE-CEQ,16,1,1.0,0.984366437388953,0.984366437388953,0.984366437388953,0.004686594009399414,0.004686594009399414,0.004686594009399414,0.0008217949045936946,0.0008217949045936946,0.0008217949045936946,0.040906222005738076,0.040906222005738076,0.040906222005738076,0.0,0.0,0.0,17.0,17.0,17.0,0.9643716603236842,0.9643716603236842,0.9643716603236842
two_phase_starcoder,retrospective,feature_bayes_linear_observed,DS-RE-CEQ,24,1,1.0,0.9913172247597007,0.9913172247597007,0.9913172247597007,0.0,0.0,0.0,0.0004627152063488071,0.0004627152063488071,0.0004627152063488071,0.030485243757261575,0.030485243757261575,0.030485243757261575,0.0,0.0,0.0,1.0,1.0,1.0,0.9566601314727252,0.9566601314727252,0.9566601314727252
