sts_prefix,bucket,owners,reasons,sources,artifact_kinds,priority_max,normalized_glob
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-32B-bs1024-scalebeta-9561ff/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1047,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-32B-bs1024-scalebeta-9561ff/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-32B-bs128-scalebeta-31142c/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1048,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-32B-bs128-scalebeta-31142c/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-32B-bs512-scalebeta-b2f9c4/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1049,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-32B-bs512-scalebeta-b2f9c4/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-32B-decay0.4-5f6212/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1050,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-32B-decay0.4-5f6212/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-48B-2f33e6/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1051,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-48B-2f33e6/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-4B-bs1024-scalebeta-659c7e/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1052,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-4B-bs1024-scalebeta-659c7e/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-4B-bs128-scalebeta-287778/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1053,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-4B-bs128-scalebeta-287778/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-4B-bs512-scalebeta-215f7c/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1054,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-4B-bs512-scalebeta-215f7c/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-4B-decay0.4-562735/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1055,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-4B-decay0.4-562735/**
gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-512B-bs1024-78e33a/,marin-eu-west4,Kaiyue,Hyperball experiments,named.csv:1056,,0,gs://marin-eu-west4/checkpoints/muonh-lr3.54e-3-512B-bs1024-78e33a/**
